,author,pos,person,number,tense,mood,voice,gender,case,degree
0,aristotle,0.813,0.938,0.949,0.926,0.943,0.938,0.932,0.96,0.991
1,plato,0.784,0.923,0.95,0.929,0.949,0.942,0.932,0.958,0.986
2,appian,0.813,0.961,0.95,0.931,0.954,0.946,0.935,0.954,0.991
3,polybius,0.781,0.962,0.953,0.94,0.952,0.951,0.921,0.924,0.984
4,diodsic,0.811,0.951,0.942,0.933,0.946,0.943,0.919,0.946,0.992
5,xen,0.797,0.921,0.938,0.917,0.937,0.932,0.921,0.945,0.992
6,athen,0.872,0.981,0.977,0.974,0.979,0.976,0.982,0.988,0.994
7,hdt,0.808,0.966,0.957,0.943,0.96,0.952,0.917,0.947,0.988
8,ps,0.842,0.974,0.982,0.979,0.984,0.981,0.971,0.978,0.992
9,antiphon,0.8,0.962,0.949,0.934,0.954,0.949,0.929,0.952,0.989
10,plut,0.797,0.937,0.951,0.931,0.951,0.943,0.935,0.959,0.99
11,josephus,0.786,0.911,0.948,0.93,0.943,0.943,0.929,0.943,0.988
12,aeschines,0.812,0.961,0.948,0.936,0.953,0.948,0.93,0.949,0.989
13,thuc,0.817,0.963,0.954,0.94,0.957,0.951,0.925,0.954,0.99
14,dion,0.774,0.959,0.956,0.94,0.955,0.953,0.933,0.944,0.985
15,dem,0.803,0.959,0.959,0.941,0.959,0.954,0.94,0.958,0.982
16,lysias,0.786,0.949,0.954,0.934,0.954,0.949,0.941,0.957,0.988
