,author,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeschines,15877,10552,0,0.665,0.0
1,antiphon,16373,11386,0,0.695,0.0
2,appian,25649,17971,0,0.701,0.0
3,aristotle,19836,14570,0,0.735,0.0
4,dion,30120,21898,0,0.727,0.0
5,hdt,33014,26407,0,0.8,0.0
6,josephus,24891,17908,0,0.719,0.0
7,lysias,22002,15225,0,0.692,0.0
8,plato,10392,7135,0,0.687,0.0
9,ps,3717,2672,0,0.719,0.0
10,thuc,32189,22827,0,0.709,0.0
11,xen,68522,48242,0,0.704,0.0
12,athen,45088,30348,0,0.673,0.0
13,demosthenes,66319,45157,0,0.681,0.0
14,diodsic,25646,18873,0,0.736,0.0
15,plutarch,36930,25462,0,0.689,0.0
16,polybius,105254,76490,0,0.727,0.0
