,author,accuracy_lemma_a,accuracy_lemma_c,accuracy_lemma_d,accuracy_lemma_i,accuracy_lemma_l,accuracy_lemma_m,accuracy_lemma_n,accuracy_lemma_p,accuracy_lemma_r,accuracy_lemma_u,accuracy_lemma_v,accuracy_lemma__
0,aeschines,0.75,0.85,0.73,0.98,0.98,0.93,0.8,0.66,0.89,0.0,0.59,
1,antiphon,0.8,0.85,0.76,1.0,0.97,0.83,0.87,0.76,0.86,0.03,0.65,
2,appian,0.77,0.89,0.82,1.0,0.99,0.9,0.76,0.82,0.92,0.0,0.52,
3,aristotle,0.73,0.86,0.78,,0.99,1.0,0.84,0.68,0.92,0.04,0.77,
4,athen,0.7,0.89,0.74,0.9,1.0,0.89,0.7,0.76,0.89,0.0,0.63,
5,dem,0.74,0.88,0.78,0.98,0.99,0.85,0.78,0.7,0.91,0.0,0.62,
6,diodsic,0.76,0.93,0.82,1.0,1.0,0.9,0.79,0.89,0.91,0.0,0.59,
7,dion,0.72,0.91,0.86,1.0,0.99,0.8,0.76,0.8,0.89,0.0,0.64,
8,hdt,0.89,0.93,0.87,0.97,0.99,0.84,0.89,0.83,0.92,0.01,0.88,
9,josephus,0.72,0.9,0.8,0.5,0.99,0.94,0.78,0.86,0.87,0.0,0.59,
10,lysias,0.79,0.88,0.8,1.0,0.98,0.94,0.83,0.72,0.88,0.0,0.63,
11,plato,0.8,0.87,0.8,0.99,0.96,1.0,0.82,0.7,0.89,0.0,0.7,
12,plut,0.71,0.89,0.77,0.95,0.99,0.95,0.76,0.77,0.88,0.0,0.62,
13,polybius,0.73,0.9,0.78,1.0,0.99,0.85,0.77,0.76,0.91,0.01,0.61,1.0
14,ps,0.78,0.9,0.76,,0.99,1.0,0.82,0.68,0.95,0.04,0.7,
15,thuc,0.75,0.93,0.83,1.0,0.99,0.94,0.75,0.7,0.87,0.01,0.63,
16,xen,0.74,0.92,0.82,0.99,0.99,0.9,0.78,0.77,0.92,0.0,0.66,
