,@id,@form,@lemma,@postag,@relation
0,1,ἀλλʼ,ἀλλά,d--------,AuxY
1,2,ὁ,ὁ,l-s---mn-,ATR
2,3,μὲν,μέν,d--------,AuxY
3,4,παῖς,παῖς,n-s---mn-,SBJ
4,5,ἐκ,ἐκ,r--------,AuxP
5,6,τῆσδε,ὅδε,a-s---fg-,ATR
6,7,τῆς,ὁ,l-s---fg-,ATR
7,8,ὄψεως,ὄψις,n-s---fg-,ADV
8,9,Εὐσεβὴς,Εὐσεβὴς,n-s---mn-,PNOM
9,10,ἐς,εἰς,r--------,AuxP
10,11,τὸ,ὁ,l-s---na-,ATR
11,12,ἔπειτα,ἔπειτα,d--------,ADV
12,13,ἐκλήθη,καλέω,v3saip---,PRED_CO
13,14,",",punc1,u--------,AuxX
14,15,τοῦ,ὁ,l-s---ng-,ATR
15,16,δʼ,δέ,c--------,COORD
16,17,ἐπιόντος,ἔπειμι1,v-sppang-,ATR
17,18,ἔτους,ἔτος,n-s---ng-,ADV
18,19,Φούριον,Φούριος,n-s---ma-,OBJ
19,20,μὲν,μέν,d--------,AuxY
20,21,ἐπὶ,ἐπί,r--------,AuxP
21,22,τῷδε,ὅδε,p-s---nd-,ADV
22,23,ἐς,εἰς,r--------,AuxP
23,24,δίκην,δίκη,n-s---fa-,ADV
24,25,Γάιος,Γάιος,n-s---mn-,ATR
25,26,Κανουλήιος,Κανουλήιος,n-s---mn-,SBJ
26,27,δήμαρχος,δήμαρχος,n-s---mn-,ATR
27,28,ὑπῆγε,ὑπάγω,v3siia---,PRED_CO
28,29,",",punc1,u--------,AuxX
29,30,καὶ,καί,c--------,COORD
30,31,ὁ,ὁ,l-s---mn-,ATR
31,32,δῆμος,δῆμος,n-s---mn-,SBJ
32,33,οὐ,οὐ,d--------,AuxZ
33,34,-δὲ,δέ,d--------,AuxZ
34,35,τοὺς,ὁ,l-p---ma-,ATR
35,36,λόγους,λόγος,n-p---ma-,OBJ
36,37,ὑπομείνας,ὑπομένω,v-sapamn-,ADV
37,38,διέσπασε,διασπάω,v3saia---,PRED_CO
38,39,τὸν,ὁ,l-s---ma-,ATR
39,40,Φούριον,Φούριος,n-s---ma-,OBJ
40,41,·,punc1,u--------,AuxK
