,opera,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeneas.xml,7207,5753,4983,0.798,0.691
1,aesop1.xml,7586,6040,5022,0.796,0.662
2,charb1.xml,6265,5009,3894,0.8,0.622
3,chion.xml,5577,4486,3518,0.804,0.631
4,crit.xml,4993,4036,2852,0.808,0.571
5,epictetus.xml,7204,5662,4409,0.786,0.612
6,epicurus1.xml,1523,1232,934,0.809,0.613
7,genesis1.xml,10455,8666,6242,0.829,0.597
8,genesis2.xml,4992,4182,3069,0.838,0.615
9,genesis3.xml,3788,3023,2507,0.798,0.662
10,heron.xml,10321,8014,6260,0.776,0.607
11,iso.xml,466,389,262,0.835,0.562
12,julian.xml,1405,1173,946,0.835,0.673
13,longus.xml,672,545,414,0.811,0.616
14,lucian_lis.xml,1314,1016,720,0.773,0.548
15,lucian_prometheus.xml,2385,1963,1429,0.823,0.599
16,lucian_symposion.xml,5479,4337,3561,0.792,0.65
17,lysias_or24.xml,1665,1381,1003,0.829,0.602
18,paean.xml,6184,5057,4111,0.818,0.665
19,papyri.xml,12547,9876,7144,0.787,0.569
20,phlegon.xml,5642,4423,3910,0.784,0.693
21,procopius.xml,29490,24118,19963,0.818,0.677
22,pseudo-lucian_themule.xml,11054,8827,6622,0.799,0.599
23,pseudoplato_cleitophon.xml,1875,1470,1034,0.784,0.551
24,sextus.xml,16218,12956,9763,0.799,0.602
25,theophr.xml,8265,6243,5496,0.755,0.665
26,xenmem.xml,27840,22722,17722,0.816,0.637
